iter	Passed	Remaining
0	470	470240
1	914	456148
2	1615	537050
3	2133	531158
4	2566	510826
5	2949	488571
6	3360	476643
7	4103	508875
8	5232	576119
9	5572	551647
10	6014	540793
11	6499	535128
12	7016	532697
13	7641	538191
14	8214	539450
15	8693	534637
16	9125	527682
17	9554	521265
18	9996	516159
19	10458	512468
20	10933	509731
21	11404	506967
22	11881	504693
23	12441	505950
24	13110	511315
25	13683	512614
26	14408	519231
27	15128	525190
28	15752	527432
29	16287	526635
30	17054	533083
31	17858	540222
32	18629	545897
33	19270	547518
34	19926	549406
35	20703	554382
36	21285	553986
37	21813	552219
38	22554	555775
39	23144	555469
40	23697	554288
41	24228	552634
42	24810	552187
43	25376	551362
44	25961	550961
45	26546	550559
46	27019	547857
47	27502	545468
48	28069	544781
49	28816	547517
50	29386	546821
51	30056	547944
52	30589	546572
53	31317	548635
54	31911	548289
55	32526	548304
56	33190	549101
57	33614	545947
58	33987	542076
59	34353	538202
60	34749	534907
61	35273	533653
62	35748	531684
63	36416	532595
64	36920	531082
65	37340	528430
66	37921	528073
67	38355	525698
68	38769	523111
69	39261	521611
70	39811	520917
71	40301	519447
72	40885	519188
73	41433	518473
74	42049	518607
75	42579	517679
76	43085	516462
77	43628	515717
78	44280	516234
79	44940	516821
80	45442	515572
81	45878	513618
82	46443	513115
83	47008	512612
84	47520	511546
85	48210	512378
86	48750	511597
87	49374	511699
88	49869	510460
89	50665	512286
90	51241	511850
91	51775	511002
92	52602	513017
93	53054	511350
94	53671	511290
95	54252	510877
96	54855	510666
97	55504	510865
98	56057	510183
99	56651	509859
100	57168	508856
101	57799	508865
102	58372	508350
103	58986	508191
104	59607	508086
105	60251	508157
106	60930	508512
107	61533	508218
108	62394	510033
109	63086	510429
110	63668	509924
111	64095	508184
112	64570	506853
113	65170	506502
114	65707	505659
115	66182	504355
116	66654	503040
117	67338	503324
118	67901	502699
119	68481	502198
120	69124	502148
121	69775	502153
122	70342	501551
123	70992	501524
124	71495	500471
125	72089	500050
126	72583	498943
127	73048	497640
128	73498	496259
129	74054	495598
130	74755	495894
131	75306	495200
132	75847	494431
133	76335	493331
134	76772	491914
135	77271	490904
136	77742	489717
137	78261	488848
138	78720	487616
139	79276	486987
140	79769	485971
141	80408	485850
142	80891	484780
143	81448	484167
144	82068	483918
145	82684	483646
146	83217	482885
147	83762	482202
148	84323	481604
149	84872	480944
150	85717	481950
151	86125	480488
152	86572	479260
153	87288	479520
154	87747	478363
155	88214	477263
156	88637	475931
157	89261	475682
158	89804	475004
159	90511	475186
160	91175	475133
161	91600	473832
162	92204	473465
163	92843	473274
164	93253	471919
165	93699	470757
166	94469	471215
167	94918	470072
168	95423	469212
169	95853	467989
170	96294	466830
171	96765	465824
172	97248	464880
173	97933	464904
174	98394	463857
175	98828	462695
176	99262	461544
177	99757	460677
178	100363	460324
179	100837	459369
180	101343	458566
181	101893	457960
182	102503	457626
183	102930	456472
184	103773	457163
185	104388	456841
186	104793	455597
187	105250	454594
188	105712	453612
189	106134	452467
190	106578	451425
191	107031	450424
192	107597	449903
193	108037	448855
194	108710	448779
195	109148	447731
196	109747	447347
197	110192	446336
198	110667	445449
199	111119	444477
200	111663	443878
201	112171	443131
202	113127	444149
203	113624	443357
204	114111	442529
205	114581	441639
206	115003	440570
207	115432	439529
208	115947	438823
209	116593	438612
210	117045	437672
211	117510	436784
212	118000	435991
213	118441	435022
214	118932	434240
215	119464	433612
216	119982	432930
217	120423	431978
218	120903	431165
219	121351	430245
220	121976	429953
221	122426	429044
222	122978	428495
223	123402	427500
224	123829	426523
225	124283	425642
226	124749	424808
227	125392	424573
228	125854	423729
229	126481	423437
230	126984	422731
231	127477	421994
232	128028	421448
233	128637	421095
234	129085	420215
235	129622	419625
236	130055	418702
237	130573	418053
238	131106	417456
239	131782	417312
240	132236	416461
241	132929	416365
242	133463	415769
243	134087	415450
244	134581	414730
245	134973	413698
246	135483	413032
247	135972	412302
248	136844	412732
249	137313	411941
250	137854	411367
251	138289	410477
252	138784	409771
253	139278	409063
254	140011	409053
255	140489	408296
256	140954	407507
257	141356	406537
