iter	Passed	Remaining
0	100	100329
1	109	54681
2	148	49216
3	173	43170
4	194	38609
5	221	36616
6	228	32427
7	253	31404
8	259	28596
9	284	28116
10	291	26214
11	296	24449
12	320	24359
13	353	24892
14	383	25185
15	402	24773
16	423	24476
17	450	24562
18	483	24972
19	498	24447
20	550	25644
21	574	25525
22	594	25273
23	619	25201
24	648	25297
25	665	24919
26	686	24726
27	703	24413
28	723	24230
29	746	24120
30	775	24227
31	809	24497
32	830	24338
33	866	24612
34	920	25370
35	1016	27217
36	1075	28000
37	1126	28517
38	1175	28973
39	1254	30101
40	1320	30879
41	1381	31506
42	1469	32710
43	1552	33726
44	1624	34465
45	1679	34825
46	1728	35038
47	1780	35316
48	1821	35344
49	1878	35690
50	1895	35277
51	1924	35080
52	1967	35162
53	1998	35007
54	2018	34675
55	2073	34945
56	2084	34481
57	2142	34789
58	2165	34541
59	2204	34543
60	2233	34382
61	2275	34431
62	2329	34640
63	2377	34766
64	2430	34954
65	2460	34826
66	2484	34596
67	2539	34800
68	2549	34397
69	2558	33995
70	2590	33892
71	2605	33579
72	2646	33613
73	2674	33467
74	2688	33155
75	2730	33200
76	2770	33208
77	2812	33239
78	2890	33695
79	2983	34313
80	3070	34837
81	3142	35175
82	3191	35258
83	3262	35572
84	3311	35641
85	3400	36139
86	3434	36040
87	3471	35976
88	3493	35758
89	3538	35782
90	3576	35729
91	3591	35449
92	3606	35169
93	3668	35359
94	3730	35541
95	3784	35634
96	3832	35678
97	3848	35419
98	3867	35193
99	3903	35129
100	3961	35264
101	4069	35828
102	4122	35901
103	4161	35855
104	4208	35873
105	4278	36084
106	4384	36591
107	4450	36760
108	4493	36731
109	4549	36809
110	4595	36807
111	4650	36869
112	4694	36851
113	4730	36761
114	4767	36690
115	4808	36645
116	4856	36648
117	4903	36648
118	4997	36996
119	5116	37518
120	5164	37519
121	5231	37647
122	5321	37941
123	5366	37909
124	5412	37888
125	5462	37889
126	5523	37968
127	5571	37955
128	5593	37764
129	5638	37736
130	5712	37896
131	5767	37924
132	5816	37919
133	5872	37953
134	5927	37977
135	5975	37960
136	6022	37938
137	6077	37961
138	6138	38021
139	6179	37959
140	6219	37891
141	6263	37843
142	6302	37771
143	6358	37799
144	6419	37852
145	6460	37791
146	6497	37706
147	6551	37717
148	6601	37705
149	6643	37643
150	6687	37598
151	6724	37515
152	6777	37522
153	6822	37478
154	6860	37402
155	6912	37396
156	6955	37344
157	6992	37266
158	7019	37126
159	7049	37011
160	7069	36841
161	7101	36736
162	7159	36764
163	7218	36797
164	7257	36726
165	7311	36732
166	7358	36703
167	7407	36684
168	7452	36645
169	7485	36547
170	7602	36854
171	7657	36861
172	7699	36806
173	7729	36690
174	7797	36758
175	7832	36669
176	7881	36646
177	7925	36601
178	7981	36609
179	8020	36537
180	8065	36493
181	8111	36456
182	8152	36396
183	8220	36456
184	8263	36402
185	8299	36322
186	8337	36248
187	8386	36222
188	8425	36153
189	8453	36039
190	8489	35956
191	8528	35889
192	8565	35816
193	8599	35726
194	8637	35657
195	8679	35605
196	8720	35545
197	8760	35484
198	8803	35434
199	8842	35370
200	8887	35327
201	8921	35245
202	8962	35189
203	9001	35124
204	9044	35074
205	9094	35054
206	9129	34976
207	9169	34915
208	9215	34876
209	9251	34803
210	9292	34746
211	9332	34687
212	9373	34634
213	9411	34568
214	9450	34506
215	9484	34424
216	9515	34335
217	9555	34276
218	9584	34180
219	9633	34153
220	9664	34065
221	9724	34079
222	9778	34070
223	9819	34017
224	9860	33964
225	9995	34231
226	10054	34239
227	10107	34225
228	10155	34189
229	10202	34157
230	10261	34161
231	10301	34101
232	10347	34063
233	10381	33984
234	10448	34014
235	10478	33920
236	10532	33908
237	10583	33884
238	10632	33855
239	10705	33900
240	10774	33933
241	10848	33979
242	10934	34062
243	10986	34040
244	11034	34004
245	11087	33982
246	11120	33900
247	11160	33840
248	11209	33809
249	11270	33810
250	11317	33772
251	11368	33745
252	11406	33677
253	11439	33599
254	11480	33540
255	11524	33492
256	11568	33444
257	11599	33358
258	11632	33279
259	11669	33213
260	11717	33177
261	11770	33154
262	11815	33111
263	11857	33058
264	11901	33008
265	11941	32951
266	11974	32873
267	12007	32796
268	12040	32720
269	12075	32648
270	12114	32588
271	12151	32524
272	12193	32470
273	12231	32408
274	12271	32350
275	12317	32311
276	12360	32261
277	12404	32217
278	12448	32168
279	12484	32102
280	12518	32031
281	12555	31967
282	12605	31937
283	12639	31866
284	12677	31805
285	12713	31739
286	12756	31690
287	12798	31640
288	12841	31592
289	12877	31527
290	12900	31431
291	12943	31383
292	12981	31324
293	13026	31280
294	13059	31211
295	13090	31133
296	13122	31061
297	13155	30989
298	13194	30933
299	13235	30881
300	13295	30876
301	13345	30844
302	13377	30773
303	13412	30708
304	13470	30694
305	13504	30627
306	13539	30562
307	13579	30509
308	13619	30456
309	13648	30379
310	13689	30329
